name,id,type,label,customerId,CustomerName
58BF25EA6390-002,004a38c0-27db-11ef-9159-ed94d19c6787,BRAVO,Saica PM 2,30832ed0-2d4d-11ef-ad50-41358614ad63,Saica Pack -  UK
58BF25EA1554-012,03284830-91e3-11ef-bb66-09a77fdcecde,SEN5X,"",397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
58BF25E9756C-010,0697e0e0-b79d-11ef-9681-df1aaf416822,SEN5X,Cosanum 11,8d8537a0-4675-11ee-bc70-33963a1aa4c6,Cosanum - Zurich CH
5443B2E17B4C,0aff1d00-f589-11ee-b74a-9d551fd2f465,IntelliGateLTE,,8d8537a0-4675-11ee-bc70-33963a1aa4c6,Cosanum - Zurich CH
58BF25EBA0F0-004,0b2bea80-7fcf-11ef-bb66-09a77fdcecde,Premasgard_7000,Cone,fde0af30-d9d7-11ed-abe5-9faf6fe668dc,Motala Hissar - R&D
58BF25E89CEC,0f12ac50-9978-11ec-bcd8-afb5f342d01b,IntelliGateLTE,1042,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
58BF25E89CEC-001,0f1851a0-9978-11ec-bcd8-afb5f342d01b,Modbus V6 Fan,1042,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
58BF25E89CEC-003,0f1e4510-9978-11ec-bcd8-afb5f342d01b,PREMASGARD,Systemtryck,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
C049EF232008-004,1153e1e0-82a8-11ed-9990-0560ab5c95df,PREMASGARD,Flow,da385a00-b47a-11ee-97a1-13eb5634dd40,R&D Novelis
58BF25EBA0F0-001,11778540-7fd2-11ef-bb66-09a77fdcecde,Modbus V6 Fan,(0913),fde0af30-d9d7-11ed-abe5-9faf6fe668dc,Motala Hissar - R&D
EC62604C580C,11aaa250-457c-11ed-9a85-43b5866161ae,IntelliGateLTE,CARA DT,8d8537a0-4675-11ee-bc70-33963a1aa4c6,Cosanum - Zurich CH
58BF25E8A6E8,128d2c10-8331-11eb-99b2-1749f3975254,IntelliGateLTE,"",0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25E96CA8,12927af0-f645-11ee-b74a-9d551fd2f465,IntelliGateLTE,,8d8537a0-4675-11ee-bc70-33963a1aa4c6,Cosanum - Zurich CH
58BF25E96F6C-002,13083200-27db-11ef-9159-ed94d19c6787,BRAVO,Saica PM 1,30832ed0-2d4d-11ef-ad50-41358614ad63,Saica Pack -  UK
3CE90E117AE0,162f3aa0-e537-11ee-97a1-13eb5634dd40,IntelliGateLTE,CARA DT,6d31f850-3489-11ef-ad50-41358614ad63,Alta
409151313484,176999c0-9641-11ec-bcd8-afb5f342d01b,IntelliGateLTE,,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
409151313484-001,176ddf80-9641-11ec-bcd8-afb5f342d01b,Modbus V6 Fan,,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
409151313484-003,1773fa00-9641-11ec-bcd8-afb5f342d01b,PREMASGARD,,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
