,name,id,type,label,customerId,CustomerName
1,58BF25EA1554-012,03284830-91e3-11ef-bb66-09a77fdcecde,SEN5X,,397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
2,58BF25E9756C-010,0697e0e0-b79d-11ef-9681-df1aaf416822,SEN5X,Cosanum 11,8d8537a0-4675-11ee-bc70-33963a1aa4c6,Cosanum - Zurich CH
18,5443B2E17B4C-010,20001700-b79d-11ef-9681-df1aaf416822,SEN5X,Cosanum 12,8d8537a0-4675-11ee-bc70-33963a1aa4c6,Cosanum - Zurich CH
43,EC62604C580C-010,38e79d50-506b-11ee-863a-01bce6d27c63,SEN5X,Cosanum 13,8d8537a0-4675-11ee-bc70-33963a1aa4c6,Cosanum - Zurich CH
48,58BF25EA1554-010,3dfd8810-910e-11ef-bb66-09a77fdcecde,SEN5X,,397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
50,EC62604C5C80-100,46f02db0-62a7-11ee-863a-01bce6d27c63,SEN5X,Oerlikon Particle Counter,0dd51000-c039-11ee-9aac-8b87a7da80ca,Oerlikon Balzter - Brügg CH
87,11004100001234-010,b20a4ff0-1dae-11ef-909a-0d0a641402f0,SEN5X,,397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
105,58BF25EA1554-013,e0b4c3a0-91f6-11ef-b675-81d50ee23e1f,SEN5X,,397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
106,58BF25E96CA8-010,e4a16ba0-b79c-11ef-b931-9dad38df1d1f,SEN5X,Cosanum 10,8d8537a0-4675-11ee-bc70-33963a1aa4c6,Cosanum - Zurich CH
107,58BF25EA1554-014,eaf0b2c0-91f6-11ef-bb66-09a77fdcecde,SEN5X,,397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
108,58BF25ECA440-010,f3aca190-bd38-11ef-b931-9dad38df1d1f,SEN5X,,397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
110,58BF25EA1554-011,fb028ee0-91e2-11ef-bb66-09a77fdcecde,SEN5X,,397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
